time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837005.19995809,0.06392756,0.00298846,0.00000213,77911.00000000,0.04355728,0.000000,0.000000
1577837005.29979897,0.06384911,0.00290265,0.00000219,77925.00000000,0.04384290,0.000000,0.000000
1577837005.39965320,0.06378658,0.00266180,0.00000252,77950.00000000,0.04777994,0.000000,0.000000
1577837005.49947810,0.06370479,0.00276282,0.00000222,77972.00000000,0.04268371,0.000000,0.000000
1577837005.59932494,0.06368998,0.00382820,0.00000305,77980.00000000,0.05986959,0.000000,0.000000
1577837005.69995117,0.06360594,0.00260156,0.00000221,78009.00000000,0.04183832,0.000000,0.000000
1577837005.79979897,0.06351667,0.00261016,0.00000220,78054.00000000,0.04030809,0.000000,0.000000
1577837005.89963913,0.06341630,0.00241526,0.00000220,78065.00000000,0.03721893,0.000000,0.000000
1577837005.99947286,0.06332351,0.00237024,0.00000240,78070.00000000,0.03901180,0.000000,0.000000
1577837006.09929895,0.06321410,0.00227064,0.00000214,78098.00000000,0.03443930,0.000000,0.000000
1577837006.19994712,0.06310525,0.00233124,0.00000216,78082.00000000,0.03437031,0.000000,0.000000
1577837006.29979110,0.06299459,0.00235780,0.00000222,78100.00000000,0.03366865,0.000000,0.000000
1577837006.39962506,0.06288441,0.00234668,0.00000217,78147.00000000,0.03357770,0.000000,0.000000
1577837006.49947190,0.06277965,0.00252063,0.00000219,78209.00000000,0.03480673,0.000000,0.000000
1577837006.59931493,0.06268196,0.00233862,0.00000232,78240.00000000,0.03650263,0.000000,0.000000
1577837006.69995213,0.06258180,0.00244705,0.00000229,78315.00000000,0.03563931,0.000000,0.000000
1577837006.79978609,0.06247992,0.00244874,0.00000223,78372.00000000,0.03497281,0.000000,0.000000
1577837006.89963007,0.06238334,0.00226884,0.00000229,78416.00000000,0.03620810,0.000000,0.000000
1577837006.99947286,0.06228769,0.00236371,0.00000219,78461.00000000,0.03627281,0.000000,0.000000
1577837007.09932113,0.06219915,0.00234549,0.00000227,78447.00000000,0.03802709,0.000000,0.000000
1577837007.19994807,0.06210830,0.00232667,0.00000221,78447.00000000,0.03721499,0.000000,0.000000
1577837007.29979801,0.06201679,0.00231369,0.00000226,78442.00000000,0.03685173,0.000000,0.000000
